,weekly_simple_returns,cumulative_returns
2016-01-01,,1.0
2016-01-08,-0.012189306862427142,0.9878106931375729
2016-01-15,-0.04673601375871325,0.9416443589920912
2016-01-22,0.05890194489985804,0.9971090431407055
2016-01-29,0.20681106644444602,1.2033222277140359
2016-02-05,0.00672199430297086,1.2114109528733679
2016-02-12,0.2549733934229011,1.5202885143571605
2016-02-19,0.005336984846495875,1.5284022711205865
2016-02-26,0.06434693188504835,1.6267502679533359
2016-03-04,0.11120458334509735,1.8076523537076121
2016-03-11,0.1400677987622007,2.0608462398187486
2016-03-18,-0.1313537032077364,1.790146454476817
2016-03-25,0.1242341863657905,2.012543842724349
2016-04-01,-0.04114642534687225,1.929734857742384
2016-04-08,-0.06332348713322983,1.8075373173075893
2016-04-15,-0.11021611750462437,1.6083175719492226
2016-04-22,0.0209635380192388,1.64203359851579
2016-04-29,-0.05555923105571973,1.5508034744145962
2016-05-06,0.030792736791834117,1.5985569576181067
2016-05-13,-0.008682706844981592,1.584677156180103
2016-05-20,0.06142884736660842,1.6820220473324416
2016-05-27,0.006809085324571461,1.6934750789705386
2016-06-03,0.08928223153150669,1.8446723130640228
2016-06-10,0.013257709232098637,1.8691284422191285
2016-06-17,0.19577443134272354,2.235056000101089
2016-06-24,0.12521214901602606,2.51491216504491
2016-07-01,0.0774600491318016,2.709717384911454
2016-07-08,-0.023259833153643578,2.6466898106448866
2016-07-15,0.003761028895059717,2.6566440874989823
2016-07-22,-0.0249637291677679,2.590324344003506
2016-07-29,-0.04874107718401175,2.4640691452208063
2016-08-05,-0.038679513504344634,2.368760149442599
2016-08-12,0.11496440325407882,2.6410832464753105
2016-08-19,-0.009620229126753574,2.615675420501388
2016-08-26,0.0632359261776879,2.781080078297006
2016-09-02,0.13690051989614216,3.1618113868886697
2016-09-09,0.025048993391056186,3.24101157942261
2016-09-16,0.00879862216701396,3.269528015748867
2016-09-23,-0.00896786034911358,3.240207345096117
2016-09-30,-0.00294162646443077,3.2306758654195393
2016-10-07,-0.0756851216861542,2.98616176941674
2016-10-14,0.030411645443013162,3.076975862383723
2016-10-21,-0.01691128171490807,3.02494025674498
2016-10-28,-0.06587024948819684,2.825686687346298
2016-11-04,-0.019397827344114854,2.7708745048565904
2016-11-11,0.08169895397830881,2.997252053508538
2016-11-18,-0.04275153419666604,2.8691149298469405
2016-11-25,-0.01113814677101891,2.837158306655384
2016-12-02,-0.027326362464401954,2.7596290903988296
2016-12-09,-0.0066656834616372965,2.741234276410705
2016-12-16,0.07956971050288125,2.95935349420528
2016-12-23,0.05776566761424019,3.1303025245045824
2016-12-30,0.08295522445133169,3.38997747302543
2017-01-06,0.0019415911818476696,3.396559423393718
2017-01-13,-0.030295230038282734,3.2936598743233088
2017-01-20,0.0792135604287075,3.554562399809627
2017-01-27,0.058620752849026764,3.7629335237353105
2017-02-03,0.12352720505562859,4.227758184732462
2017-02-10,-0.04115003597867428,4.053785783321587
2017-02-17,0.08259315287931045,4.388600732263442
2017-02-24,0.0015617723149243382,4.395454727388348
2017-03-03,0.20498334654110437,5.296449746978329
2017-03-10,-0.03908943853193911,5.089414500156315
2017-03-17,0.4072798061442901,7.162230251167919
2017-03-24,0.08131961534979598,7.744660060239566
2017-03-31,0.192876570471812,9.238423532128591
2017-04-07,0.1497875081424917,10.62222397217109
2017-04-14,0.08265478939009392,11.500201657445299
2017-04-21,0.11473548789397509,12.819682905491385
2017-04-28,0.22182601715090638,15.663422105554098
2017-05-05,0.397602763179895,21.891242015575457
2017-05-12,0.26086011925841374,27.601794018473267
2017-05-19,0.26846758393416115,35.01198097086117
2017-05-26,0.04100187619347402,36.44753787991669
